evidence_group,task_id,seed,p0_generation_id,p1_generation_id,p0_observed_status,p1_observed_status,p0_pipeline_status,p1_pipeline_status,pipeline_transition,p0_strict_python_only_compliant,p1_strict_python_only_compliant,p0_code_fence_marker_count,p1_code_fence_marker_count,p0_extra_text_outside_fences,p1_extra_text_outside_fences,p0_multiple_program_segments,p1_multiple_program_segments,p0_generation_truncated,p1_generation_truncated,p0_raw_compile_status,p1_raw_compile_status,p0_pipeline_compile_status,p1_pipeline_compile_status,p0_pipeline_entry_point_status,p1_pipeline_entry_point_status,p0_extraction_action,p1_extraction_action,p0_reasoning_leakage,p1_reasoning_leakage,p0_failure_taxonomy,p1_failure_taxonomy,p0_raw_characters,p1_raw_characters,p0_raw_lines,p1_raw_lines,p0_pipeline_top_level_defs,p1_pipeline_top_level_defs,observable_output_structure_difference,cell_adjudication,direct_evidence,confidence,causal_status,remaining_problem_bucket
p1_paired_rescue,Mbpp/453,11,a8c566e01f0b4c6e32de69af94a37d327b9c0e117828152cb3f12c32027885b1,fc1d3be1670ddd0d1734fce751b5edd7efae09c06fb610e4b565e5f805f96352,fail,pass,fail,pass,fail_to_pass,false,true,2,0,true,false,false,false,false,false,fail,pass,pass,pass,missing,present,extract:fenced_python,pass_through:plain_text,false,false,missing_or_wrong_entry_point,pipeline_pass,2408,158,61,7,sum_of_even_factors,sumofFactors,code_fence_markers:2->0; extra_text:true->false; raw_compile:fail->pass; pipeline_entry:missing->present; extraction:extract:fenced_python->pass_through:plain_text; raw_chars:2408->158; raw_lines:61->7,compile_or_entry_improvement,P0/P1 pipeline compile=pass/pass; entry=missing/present; extraction=extract:fenced_python/pass_through:plain_text; raw hashes differ=True; P0 taxonomy=missing_or_wrong_entry_point and P1 pipeline passed.,high,direct_mechanistic_evidence_for_evaluability_not_semantic_causality,none_pipeline_pass
p1_paired_rescue,Mbpp/453,22,87efb6fd4e92de85c8ba80094c3dba690c913a04bfa9adb9d94736b1157bf1e9,fa72f8118c075e239670baafdab120d499c4b9107de62aca1818aca1a658e337,fail,pass,fail,pass,fail_to_pass,false,true,2,0,false,false,false,false,false,false,fail,pass,pass,pass,missing,present,extract:fenced_python,pass_through:plain_text,false,false,missing_or_wrong_entry_point,pipeline_pass,780,158,27,7,sum_of_even_factors,sumofFactors,code_fence_markers:2->0; raw_compile:fail->pass; pipeline_entry:missing->present; extraction:extract:fenced_python->pass_through:plain_text; raw_chars:780->158; raw_lines:27->7,compile_or_entry_improvement,P0/P1 pipeline compile=pass/pass; entry=missing/present; extraction=extract:fenced_python/pass_through:plain_text; raw hashes differ=True; P0 taxonomy=missing_or_wrong_entry_point and P1 pipeline passed.,high,direct_mechanistic_evidence_for_evaluability_not_semantic_causality,none_pipeline_pass
p1_paired_rescue,Mbpp/453,33,a15ee91dd2bbf5de0e4021320cb35abd0a8b57f559e160a99d0f376c750e7e8b,e32f6dfdd253502a6b8f33911085318a6ac46f055e45c7268d5455a4343486d5,fail,pass,fail,pass,fail_to_pass,false,true,2,0,false,false,false,false,false,false,fail,pass,pass,pass,missing,present,extract:fenced_python,pass_through:plain_text,false,false,missing_or_wrong_entry_point,pipeline_pass,1175,158,41,7,sum_of_even_factors,sumofFactors,code_fence_markers:2->0; raw_compile:fail->pass; pipeline_entry:missing->present; extraction:extract:fenced_python->pass_through:plain_text; raw_chars:1175->158; raw_lines:41->7,compile_or_entry_improvement,P0/P1 pipeline compile=pass/pass; entry=missing/present; extraction=extract:fenced_python/pass_through:plain_text; raw hashes differ=True; P0 taxonomy=missing_or_wrong_entry_point and P1 pipeline passed.,high,direct_mechanistic_evidence_for_evaluability_not_semantic_causality,none_pipeline_pass
p1_paired_rescue,Mbpp/453,44,214a44a0235d28d0f312bf83edaa3950b2023188fe21c5b4d3d6390888552668,376553a892c1008bfff576a5985bc1af166c2ee11a651440acb4a314aaebea0a,fail,pass,fail,pass,fail_to_pass,false,true,4,0,true,false,true,false,false,false,fail,pass,not_run_extraction_failed,pass,extraction_failed,present,reject_ambiguous:fenced_python,pass_through:plain_text,false,false,extraction_or_format_failure,pipeline_pass,3159,130,85,6,,sumofFactors,code_fence_markers:4->0; extra_text:true->false; multiple_programs:true->false; raw_compile:fail->pass; pipeline_entry:extraction_failed->present; extraction:reject_ambiguous:fenced_python->pass_through:plain_text; raw_chars:3159->130; raw_lines:85->6,format_compliance_rescue,P0/P1 pipeline compile=not_run_extraction_failed/pass; entry=extraction_failed/present; extraction=reject_ambiguous:fenced_python/pass_through:plain_text; raw hashes differ=True; P0 taxonomy=extraction_or_format_failure and P1 pipeline passed.,high,direct_mechanistic_evidence_for_evaluability_not_semantic_causality,none_pipeline_pass
p1_paired_rescue,Mbpp/453,55,5a3c9d8d042c1aa8c6a431f6a70d40cb52b9395ee1760fb431fa6da0f0c39c40,7995f165f931b9f2816af6feae3e7af656aaf2022531a044b66701f7c9aa70b4,fail,pass,fail,pass,fail_to_pass,false,true,2,0,false,false,false,false,false,false,fail,pass,pass,pass,missing,present,extract:fenced_python,pass_through:plain_text,false,false,missing_or_wrong_entry_point,pipeline_pass,1024,158,33,7,sum_of_even_factors,sumofFactors,code_fence_markers:2->0; raw_compile:fail->pass; pipeline_entry:missing->present; extraction:extract:fenced_python->pass_through:plain_text; raw_chars:1024->158; raw_lines:33->7,compile_or_entry_improvement,P0/P1 pipeline compile=pass/pass; entry=missing/present; extraction=extract:fenced_python/pass_through:plain_text; raw hashes differ=True; P0 taxonomy=missing_or_wrong_entry_point and P1 pipeline passed.,high,direct_mechanistic_evidence_for_evaluability_not_semantic_causality,none_pipeline_pass
persistent_failure,Mbpp/259,11,b3acf3ac72e752106eb5d225fd574d082253b97847572e4474daf60652bb306a,1a591eaffe06f3af22116e1d94a0c47cd665537375e0cfdee1ab926ea7d04b46,fail,fail,fail,fail,fail_to_fail,false,true,4,0,true,false,true,false,false,false,fail,pass,not_run_extraction_failed,pass,extraction_failed,present,reject_ambiguous:fenced_python,pass_through:plain_text,false,false,extraction_or_format_failure,unknown,2231,604,55,19,,maximize_elements,code_fence_markers:4->0; extra_text:true->false; multiple_programs:true->false; raw_compile:fail->pass; pipeline_entry:extraction_failed->present; extraction:reject_ambiguous:fenced_python->pass_through:plain_text; raw_chars:2231->604; raw_lines:55->19,not_applicable,P0/P1 pipeline compile=not_run_extraction_failed/pass; entry=extraction_failed/present; extraction=reject_ambiguous:fenced_python/pass_through:plain_text; raw hashes differ=True; no discordant pipeline transition.,not_applicable,descriptive_only,insufficient_evidence
p1_paired_regression,Mbpp/259,22,3edd4cecece630736fa7d6df9a860353f1f2b913759949cdb60a3003d87f9de3,d0d21cf46c3a38261f5dbb7b3e94775dfd84820c8917e3125757be7ff45a7959,fail,fail,pass,fail,pass_to_fail,false,true,2,0,true,false,false,false,false,false,fail,pass,pass,pass,present,present,extract:fenced_python,pass_through:plain_text,false,false,pipeline_pass,unknown,1968,1610,49,21,maximize_elements,maximize_elements,code_fence_markers:2->0; extra_text:true->false; raw_compile:fail->pass; extraction:extract:fenced_python->pass_through:plain_text; raw_chars:1968->1610; raw_lines:49->21,model_sampling_variation,"P0/P1 pipeline compile=pass/pass; entry=present/present; extraction=extract:fenced_python/pass_through:plain_text; raw hashes differ=True; this task has regressions=1 and rescues=1, so the within-task direction is mixed or isolated. Sampling attribution is a low-confidence inference.",low,inference_not_causal_identification,insufficient_evidence
persistent_failure,Mbpp/259,33,23472b4f7ab05dae8f8130e30b59a477022c1c466566e4c26d7f5b38868bd19e,db353f8cb18385a7a6917e7e43648ca3ace56777937ab7e719e6f4223ad9bc36,fail,fail,fail,fail,fail_to_fail,false,true,2,0,true,false,false,false,false,false,fail,pass,pass,pass,present,present,extract:fenced_python,pass_through:plain_text,false,false,unknown,unknown,1380,2250,42,42,maximize_elements,maximize_elements|maximize_elements_corrected|maximize_elements,code_fence_markers:2->0; extra_text:true->false; raw_compile:fail->pass; extraction:extract:fenced_python->pass_through:plain_text; raw_chars:1380->2250; raw_lines:42->42,not_applicable,P0/P1 pipeline compile=pass/pass; entry=present/present; extraction=extract:fenced_python/pass_through:plain_text; raw hashes differ=True; no discordant pipeline transition.,not_applicable,descriptive_only,insufficient_evidence
persistent_failure,Mbpp/259,44,cb2c730b6ed1604ceb8f1e76d7d317729c84252c6a525c5a3416b6e0969e3a78,c263aa23483e0a37b26261e008e907642c7040327dff1a7ff109eaf4b78ba874,fail,fail,fail,fail,fail_to_fail,false,false,2,0,true,false,false,false,false,true,fail,fail,pass,fail,present,not_assessed_compile_fail,extract:fenced_python,pass_through:plain_text,false,false,unknown,syntax_failure,3088,6517,55,170,maximize_elements,compile_failed,code_fence_markers:2->0; extra_text:true->false; truncation:false->true; pipeline_entry:present->not_assessed_compile_fail; extraction:extract:fenced_python->pass_through:plain_text; raw_chars:3088->6517; raw_lines:55->170,not_applicable,P0/P1 pipeline compile=pass/fail; entry=present/not_assessed_compile_fail; extraction=extract:fenced_python/pass_through:plain_text; raw hashes differ=True; no discordant pipeline transition.,not_applicable,descriptive_only,possibly_evaluator_blind_healer
p1_paired_rescue,Mbpp/259,55,768d4274d4df9a4292586eb53be3138f029961c63eda94986f46955872958cb0,c9a80fd5e9cad9af7316f9e090bd3a4c88195923738da37f00cd4b1ac8d98e70,fail,pass,fail,pass,fail_to_pass,false,true,4,0,true,false,true,false,false,false,fail,pass,not_run_extraction_failed,pass,extraction_failed,present,reject_ambiguous:fenced_python,pass_through:plain_text,false,false,extraction_or_format_failure,pipeline_pass,5569,1321,136,30,,maximize_elements,code_fence_markers:4->0; extra_text:true->false; multiple_programs:true->false; raw_compile:fail->pass; pipeline_entry:extraction_failed->present; extraction:reject_ambiguous:fenced_python->pass_through:plain_text; raw_chars:5569->1321; raw_lines:136->30,format_compliance_rescue,P0/P1 pipeline compile=not_run_extraction_failed/pass; entry=extraction_failed/present; extraction=reject_ambiguous:fenced_python/pass_through:plain_text; raw hashes differ=True; P0 taxonomy=extraction_or_format_failure and P1 pipeline passed.,high,direct_mechanistic_evidence_for_evaluability_not_semantic_causality,none_pipeline_pass
persistent_failure,Mbpp/739,11,38d165980d0e6550462be88bdaaa5f0d08918716fd774a9243fb264b8701ebcb,f030e829694261eb58258a5e5c6baee270b26bd1b1934c5932267c909859ad19,fail,fail,fail,fail,fail_to_fail,false,true,2,0,true,false,false,false,false,false,fail,pass,pass,pass,missing,present,extract:fenced_python,pass_through:plain_text,false,false,missing_or_wrong_entry_point,unknown,3141,565,75,18,find_index,find_Index,code_fence_markers:2->0; extra_text:true->false; raw_compile:fail->pass; pipeline_entry:missing->present; extraction:extract:fenced_python->pass_through:plain_text; raw_chars:3141->565; raw_lines:75->18,not_applicable,P0/P1 pipeline compile=pass/pass; entry=missing/present; extraction=extract:fenced_python/pass_through:plain_text; raw hashes differ=True; no discordant pipeline transition.,not_applicable,descriptive_only,insufficient_evidence
persistent_failure,Mbpp/739,22,9102f8c8c05eccc2d87ca84420bd9f2cc714d97733460ba86d61b8ebfe6ffd43,fab095f5d31036901a4726fcac70ea9ccb0f5c3bbd95abc79db7c0d925449223,fail,fail,fail,fail,fail_to_fail,false,true,4,0,true,false,true,false,false,false,fail,pass,not_run_extraction_failed,pass,extraction_failed,present,reject_ambiguous:fenced_python,pass_through:plain_text,false,false,extraction_or_format_failure,unknown,3634,745,105,25,,find_Index,code_fence_markers:4->0; extra_text:true->false; multiple_programs:true->false; raw_compile:fail->pass; pipeline_entry:extraction_failed->present; extraction:reject_ambiguous:fenced_python->pass_through:plain_text; raw_chars:3634->745; raw_lines:105->25,not_applicable,P0/P1 pipeline compile=not_run_extraction_failed/pass; entry=extraction_failed/present; extraction=reject_ambiguous:fenced_python/pass_through:plain_text; raw hashes differ=True; no discordant pipeline transition.,not_applicable,descriptive_only,insufficient_evidence
persistent_failure,Mbpp/739,33,f6793801629747f07dd231b6105d63cb8c65f08eb11e2baa004d27e0d244d79d,aa760f0d5ad0f94ee3a49c83dc4090585492bb69e5223a1f18b69c94a21c77af,fail,fail,fail,fail,fail_to_fail,false,true,4,0,true,false,true,false,false,false,fail,pass,not_run_extraction_failed,pass,extraction_failed,present,reject_ambiguous:fenced_python,pass_through:plain_text,false,false,extraction_or_format_failure,unknown,3789,677,107,21,,find_Index,code_fence_markers:4->0; extra_text:true->false; multiple_programs:true->false; raw_compile:fail->pass; pipeline_entry:extraction_failed->present; extraction:reject_ambiguous:fenced_python->pass_through:plain_text; raw_chars:3789->677; raw_lines:107->21,not_applicable,P0/P1 pipeline compile=not_run_extraction_failed/pass; entry=extraction_failed/present; extraction=reject_ambiguous:fenced_python/pass_through:plain_text; raw hashes differ=True; no discordant pipeline transition.,not_applicable,descriptive_only,insufficient_evidence
persistent_failure,Mbpp/739,44,5ec420e9306fc9694f324eede18e3a4b8211d16547c96f4513bded0f831c6236,1b4d8148dd3b5d38228d7f5ae308c36b5167d18320bc8458ef4d61b40796d359,fail,fail,fail,fail,fail_to_fail,false,false,2,0,true,false,false,false,false,true,fail,pass,fail,pass,not_assessed_compile_fail,present,extract:fenced_python,pass_through:plain_text,false,false,syntax_failure,unknown,3087,6596,72,154,compile_failed,find_Index|find_Index|find_Index,code_fence_markers:2->0; extra_text:true->false; truncation:false->true; raw_compile:fail->pass; pipeline_entry:not_assessed_compile_fail->present; extraction:extract:fenced_python->pass_through:plain_text; raw_chars:3087->6596; raw_lines:72->154,not_applicable,P0/P1 pipeline compile=fail/pass; entry=not_assessed_compile_fail/present; extraction=extract:fenced_python/pass_through:plain_text; raw hashes differ=True; no discordant pipeline transition.,not_applicable,descriptive_only,insufficient_evidence
persistent_failure,Mbpp/739,55,b8853a36045875b0d6daec37b3dd92603aec4ee32d35436c128873c7c3571152,f660df4ed51b65a5a5296c915e445e38a157f45e3e516772505476ff98d618b7,fail,fail,fail,fail,fail_to_fail,false,true,2,0,true,false,false,false,false,false,fail,pass,pass,pass,present,missing,extract:fenced_python,pass_through:plain_text,false,false,unknown,missing_or_wrong_entry_point,3317,3817,82,97,find_Index,find_index|find_index|find_index,code_fence_markers:2->0; extra_text:true->false; raw_compile:fail->pass; pipeline_entry:present->missing; extraction:extract:fenced_python->pass_through:plain_text; raw_chars:3317->3817; raw_lines:82->97,not_applicable,P0/P1 pipeline compile=pass/pass; entry=present/missing; extraction=extract:fenced_python/pass_through:plain_text; raw hashes differ=True; no discordant pipeline transition.,not_applicable,descriptive_only,suitable_for_scaffold
persistent_failure,Mbpp/124,11,cc3807db95d0957b0a02850eeec1191004c4ce871fc7bb51c1822fabe94001ca,0788abe07724e6cdff4b236f7408dcf4f2893c5a798ac16f5d0c6896deec8f47,fail,fail,fail,fail,fail_to_fail,false,true,4,0,true,false,true,false,false,false,fail,pass,not_run_extraction_failed,pass,extraction_failed,present,reject_ambiguous:fenced_python,pass_through:plain_text,false,false,extraction_or_format_failure,unknown,2571,89,53,5,,angle_complex,code_fence_markers:4->0; extra_text:true->false; multiple_programs:true->false; raw_compile:fail->pass; pipeline_entry:extraction_failed->present; extraction:reject_ambiguous:fenced_python->pass_through:plain_text; raw_chars:2571->89; raw_lines:53->5,not_applicable,P0/P1 pipeline compile=not_run_extraction_failed/pass; entry=extraction_failed/present; extraction=reject_ambiguous:fenced_python/pass_through:plain_text; raw hashes differ=True; no discordant pipeline transition.,not_applicable,descriptive_only,insufficient_evidence
persistent_failure,Mbpp/124,22,9037321d62d0dfaffc5945a8ae4fbacd0d3a5ab35733eb65f40e20e168418898,256b17eea73e2c973591bce284cd8e07bc773cfcae0426a4b66ebe1b2e3fddba,fail,fail,fail,fail,fail_to_fail,false,true,2,0,true,false,false,false,false,false,fail,pass,pass,pass,present,present,extract:fenced_python,pass_through:plain_text,false,false,unknown,unknown,1371,667,35,24,angle_complex,angle_complex,code_fence_markers:2->0; extra_text:true->false; raw_compile:fail->pass; extraction:extract:fenced_python->pass_through:plain_text; raw_chars:1371->667; raw_lines:35->24,not_applicable,P0/P1 pipeline compile=pass/pass; entry=present/present; extraction=extract:fenced_python/pass_through:plain_text; raw hashes differ=True; no discordant pipeline transition.,not_applicable,descriptive_only,insufficient_evidence
persistent_failure,Mbpp/124,33,064892e834a16c41eb71016b7e802906cdaffc1a318edf0db19efdc83699cf1b,199e3da61c758222980af5113c9aea91f31f13342edf35835d562b4d109be5d5,fail,fail,fail,fail,fail_to_fail,false,true,2,0,true,false,false,false,false,false,fail,pass,pass,pass,present,present,extract:fenced_python,pass_through:plain_text,false,false,unknown,unknown,1513,78,41,5,angle_complex,angle_complex,code_fence_markers:2->0; extra_text:true->false; raw_compile:fail->pass; extraction:extract:fenced_python->pass_through:plain_text; raw_chars:1513->78; raw_lines:41->5,not_applicable,P0/P1 pipeline compile=pass/pass; entry=present/present; extraction=extract:fenced_python/pass_through:plain_text; raw hashes differ=True; no discordant pipeline transition.,not_applicable,descriptive_only,insufficient_evidence
persistent_failure,Mbpp/124,44,3a4535ac4171efa927d173a4080b39e646ffca862de56dab557f28adccf5ebb8,e038bf98ec60ab77ae9421e22fe5fc743bebc946363af3befce2d65cbf430625,fail,fail,fail,fail,fail_to_fail,false,true,2,0,true,false,false,false,false,false,fail,pass,pass,pass,present,present,extract:fenced_python,pass_through:plain_text,false,false,unknown,unknown,1966,66,42,5,angle_complex,angle_complex,code_fence_markers:2->0; extra_text:true->false; raw_compile:fail->pass; extraction:extract:fenced_python->pass_through:plain_text; raw_chars:1966->66; raw_lines:42->5,not_applicable,P0/P1 pipeline compile=pass/pass; entry=present/present; extraction=extract:fenced_python/pass_through:plain_text; raw hashes differ=True; no discordant pipeline transition.,not_applicable,descriptive_only,insufficient_evidence
persistent_failure,Mbpp/124,55,69c839ff7b956effcac3813928cecf14b4f821a597f740f5de328e6e3bd5d45d,e054b26994a5ba81f9c4d258d8eb2b733505f3cd75c75e50325e12150cb811b1,fail,fail,fail,fail,fail_to_fail,false,true,4,0,true,false,true,false,false,false,fail,pass,not_run_extraction_failed,pass,extraction_failed,present,reject_ambiguous:fenced_python,pass_through:plain_text,false,false,extraction_or_format_failure,unknown,2166,169,52,6,,angle_complex,code_fence_markers:4->0; extra_text:true->false; multiple_programs:true->false; raw_compile:fail->pass; pipeline_entry:extraction_failed->present; extraction:reject_ambiguous:fenced_python->pass_through:plain_text; raw_chars:2166->169; raw_lines:52->6,not_applicable,P0/P1 pipeline compile=not_run_extraction_failed/pass; entry=extraction_failed/present; extraction=reject_ambiguous:fenced_python/pass_through:plain_text; raw hashes differ=True; no discordant pipeline transition.,not_applicable,descriptive_only,insufficient_evidence
