task_id,seed_11_transition,seed_22_transition,seed_33_transition,seed_44_transition,seed_55_transition,fail_to_fail,fail_to_pass,pass_to_fail,pass_to_pass,net_rescues,cross_seed_pattern,causal_limit
Mbpp/244,fail_to_fail,fail_to_fail,fail_to_fail,fail_to_fail,fail_to_fail,5,0,0,0,0,mixed_or_partial,association_across_frozen_seeds_not_semantic_causal_identification
Mbpp/735,fail_to_fail,fail_to_fail,fail_to_fail,fail_to_fail,fail_to_fail,5,0,0,0,0,mixed_or_partial,association_across_frozen_seeds_not_semantic_causal_identification
Mbpp/14,pass_to_fail,pass_to_fail,pass_to_fail,pass_to_fail,pass_to_pass,0,0,4,1,-4,regression_concentrated_4_of_5,association_across_frozen_seeds_not_semantic_causal_identification
Mbpp/787,fail_to_pass,fail_to_pass,fail_to_pass,fail_to_fail,fail_to_pass,1,4,0,0,4,mixed_or_partial,association_across_frozen_seeds_not_semantic_causal_identification
Mbpp/722,pass_to_fail,fail_to_fail,fail_to_fail,fail_to_fail,fail_to_fail,4,0,1,0,-1,mixed_or_partial,association_across_frozen_seeds_not_semantic_causal_identification
Mbpp/781,fail_to_pass,fail_to_pass,fail_to_fail,fail_to_pass,fail_to_fail,2,3,0,0,3,mixed_or_partial,association_across_frozen_seeds_not_semantic_causal_identification
Mbpp/622,fail_to_fail,fail_to_fail,fail_to_fail,fail_to_fail,fail_to_fail,5,0,0,0,0,mixed_or_partial,association_across_frozen_seeds_not_semantic_causal_identification
Mbpp/607,pass_to_fail,pass_to_fail,fail_to_fail,pass_to_fail,pass_to_fail,1,0,4,0,-4,regression_concentrated_4_of_5,association_across_frozen_seeds_not_semantic_causal_identification
Mbpp/410,fail_to_fail,fail_to_fail,fail_to_fail,fail_to_fail,fail_to_fail,5,0,0,0,0,mixed_or_partial,association_across_frozen_seeds_not_semantic_causal_identification
Mbpp/581,fail_to_fail,fail_to_fail,fail_to_fail,fail_to_fail,fail_to_fail,5,0,0,0,0,mixed_or_partial,association_across_frozen_seeds_not_semantic_causal_identification
Mbpp/255,fail_to_fail,fail_to_fail,fail_to_fail,fail_to_fail,fail_to_fail,5,0,0,0,0,mixed_or_partial,association_across_frozen_seeds_not_semantic_causal_identification
Mbpp/99,fail_to_fail,fail_to_fail,fail_to_fail,fail_to_fail,fail_to_fail,5,0,0,0,0,mixed_or_partial,association_across_frozen_seeds_not_semantic_causal_identification
Mbpp/103,fail_to_fail,fail_to_pass,fail_to_pass,fail_to_fail,fail_to_fail,3,2,0,0,2,mixed_or_partial,association_across_frozen_seeds_not_semantic_causal_identification
Mbpp/427,fail_to_fail,fail_to_fail,fail_to_fail,fail_to_fail,fail_to_fail,5,0,0,0,0,mixed_or_partial,association_across_frozen_seeds_not_semantic_causal_identification
Mbpp/6,fail_to_pass,fail_to_pass,fail_to_pass,fail_to_pass,fail_to_pass,0,5,0,0,5,consistent_rescue_5_of_5,association_across_frozen_seeds_not_semantic_causal_identification
Mbpp/771,fail_to_fail,fail_to_fail,fail_to_fail,fail_to_fail,fail_to_fail,5,0,0,0,0,mixed_or_partial,association_across_frozen_seeds_not_semantic_causal_identification
Mbpp/119,fail_to_fail,fail_to_fail,fail_to_fail,fail_to_fail,fail_to_fail,5,0,0,0,0,mixed_or_partial,association_across_frozen_seeds_not_semantic_causal_identification
Mbpp/306,fail_to_fail,fail_to_fail,fail_to_fail,fail_to_fail,fail_to_fail,5,0,0,0,0,mixed_or_partial,association_across_frozen_seeds_not_semantic_causal_identification
Mbpp/620,fail_to_fail,fail_to_fail,fail_to_fail,fail_to_fail,fail_to_fail,5,0,0,0,0,mixed_or_partial,association_across_frozen_seeds_not_semantic_causal_identification
Mbpp/237,fail_to_fail,fail_to_fail,fail_to_fail,fail_to_fail,fail_to_fail,5,0,0,0,0,mixed_or_partial,association_across_frozen_seeds_not_semantic_causal_identification
Mbpp/440,fail_to_fail,fail_to_fail,fail_to_fail,fail_to_fail,fail_to_fail,5,0,0,0,0,mixed_or_partial,association_across_frozen_seeds_not_semantic_causal_identification
Mbpp/392,fail_to_pass,fail_to_pass,fail_to_pass,pass_to_pass,fail_to_fail,1,3,0,1,3,mixed_or_partial,association_across_frozen_seeds_not_semantic_causal_identification
Mbpp/406,fail_to_pass,fail_to_pass,fail_to_pass,pass_to_pass,fail_to_pass,0,4,0,1,4,mixed_or_partial,association_across_frozen_seeds_not_semantic_causal_identification
Mbpp/419,pass_to_pass,pass_to_pass,pass_to_pass,pass_to_pass,pass_to_pass,0,0,0,5,0,mixed_or_partial,association_across_frozen_seeds_not_semantic_causal_identification
Mbpp/786,fail_to_fail,fail_to_fail,pass_to_fail,fail_to_fail,pass_to_fail,3,0,2,0,-2,mixed_or_partial,association_across_frozen_seeds_not_semantic_causal_identification
Mbpp/16,pass_to_pass,fail_to_pass,pass_to_pass,fail_to_pass,pass_to_pass,0,2,0,3,2,mixed_or_partial,association_across_frozen_seeds_not_semantic_causal_identification
Mbpp/576,fail_to_fail,fail_to_fail,fail_to_fail,fail_to_fail,fail_to_fail,5,0,0,0,0,mixed_or_partial,association_across_frozen_seeds_not_semantic_causal_identification
Mbpp/118,pass_to_pass,pass_to_pass,fail_to_pass,pass_to_pass,pass_to_pass,0,1,0,4,1,mixed_or_partial,association_across_frozen_seeds_not_semantic_causal_identification
Mbpp/615,fail_to_fail,fail_to_fail,fail_to_fail,fail_to_fail,fail_to_fail,5,0,0,0,0,mixed_or_partial,association_across_frozen_seeds_not_semantic_causal_identification
Mbpp/287,fail_to_fail,fail_to_fail,fail_to_fail,fail_to_fail,fail_to_fail,5,0,0,0,0,mixed_or_partial,association_across_frozen_seeds_not_semantic_causal_identification
