item_id,run_id,repetition_index,generated_question,generated_answer,generated_correct_answer,status,error_log,included_in_avg,score_l2_1_contract,score_l2_2_purity,score_l3_total,score_l3_1_internal,score_l3_2_external,score_l4_total,score_l4_1_numeric,score_l4_2_visual,score_l4_3_artifacts,score_l4_4_mqi,score_math_total,score_math_quality,score_math_difficulty,score_math_sympy_verified,score_math_hygiene_score,score_math_is,complexity_math_ops,complexity_inference_steps,complexity_ast_nodes,complexity_loop_depth,student_input_test,student_input_result,exec_time_ms
8490f885-1e2e-4abf-bca5-9d7019935b14,837c017e-ba43-4acb-9d34-b8f2c438ba9f,1,計算 $$[(17 \times 3) + (-15)] \div 4 + |(-5) \times (-2) - 3|$$ 的值。,,16,PASS,,1,6.0,7.5,20.0,10.0,10.0,22.25,5,3,5,3.0,42.25,0.0,0.0,True,15,6.25,15,5,3516,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
74798cb8-acb7-4a3d-8209-cd77a57d4f79,209bf294-f0c7-4a04-b431-fcb4228a7039,3,計算 $$[((-20) \times 5) + 4] \div 16 - |(-6) \times 5 - 10 + (-2)| + (5 \times 2 - 7)$$ 的值。,,-45,PASS,,1,6.0,7.5,20.0,10.0,10.0,23.9,5,3,5,3.4,43.9,0.0,0.0,True,15,7.5,17,6,3516,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
c91aa975-2dcc-42f5-ac4d-cd309858f771,15a00ca5-9db6-438d-9b09-2ddbeb3d5298,1,計算 $$[((-7) \times 5) + 3] \div 8 - |(-3) \times 9 - 1 + 8| + (9 \times 5 - 3)$$ 的值。,,18,PASS,,1,6.0,7.5,20.0,10.0,10.0,23.7,5,3,5,3.2,43.7,0.0,0.0,True,15,7.5,16,6,3516,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
da290f54-7eb5-4403-81a6-fd12b4b4a662,15a00ca5-9db6-438d-9b09-2ddbeb3d5298,2,計算 $$[((-75) \times 3) + (-13)] \div 17 - |(-7) \times 10 - 17 + 9| + (9 \times 2 - 4)$$ 的值。,,-78,PASS,,1,6.0,7.5,20.0,10.0,10.0,24.1,5,3,5,3.6,44.1,0.0,0.0,True,15,7.5,18,6,3516,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
738dc24a-2a43-461e-ab2e-a02344e08412,15a00ca5-9db6-438d-9b09-2ddbeb3d5298,3,計算 $$[((-10) \times 2) + (-4)] \div 3 - |(-3) \times (-1) - 10 + (-8)| + ((-5) \times 5 - 2)$$ 的值。,,-50,PASS,,1,6.0,7.5,20.0,10.0,10.0,24.7,5,3,5,4.2,44.7,0.0,0.0,True,15,7.5,21,6,3516,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
9de81a34-ec6f-4702-ad73-94837045e812,df68f925-c81e-4d54-8410-dd1f892a1906,1,計算 $$[(28 \times 3) + 1] \div 17 - |(-2) \times (-3) - 1 + 10| + ((-8) \times 4 - 9)$$ 的值。,,-51,PASS,,1,6.0,7.5,20.0,10.0,10.0,23.9,5,3,5,3.4,43.9,0.0,0.0,True,15,7.5,17,6,3516,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
ef654142-b156-45d5-b6bf-c45fa2786992,df68f925-c81e-4d54-8410-dd1f892a1906,2,計算 $$[(24 \times 5) + (-12)] \div 9 - |5 \times (-9) - 9 + (-2)| + (9 \times 2 - 4)$$ 的值。,,-30,PASS,,1,6.0,7.5,20.0,10.0,10.0,23.9,5,3,5,3.4,43.9,0.0,0.0,True,15,7.5,17,6,3516,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
b1d0cd65-2699-4b44-9aa0-f83d865a2342,df68f925-c81e-4d54-8410-dd1f892a1906,3,計算 $$[((-57) \times 3) + 1] \div 17 - |11 \times 3 - 11 + (-1)| + (7 \times 4 - 3)$$ 的值。,,-6,PASS,,1,6.0,7.5,20.0,10.0,10.0,23.7,5,3,5,3.2,43.7,0.0,0.0,True,15,7.5,16,6,3516,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
9ab555c7-33e6-4fda-a6bb-d23148973f11,a6550d55-8916-4677-ba6f-cefda5d99060,1,計算 $$- [(56 \times 2) + 8] \div 20 + |10 \times (-1) - 18 + (-6)| - ((-10) \times 4 - 4) + 49$$ 的值。,,121,PASS,,1,6.0,7.5,20.0,10.0,10.0,22.85,5,3,5,3.6,42.85,0.0,0.0,True,15,6.25,18,5,3516,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.05
db488ee1-33bf-4575-9f43-4e0427eaa969,a6550d55-8916-4677-ba6f-cefda5d99060,2,計算 $$- [(117 \times 3) + 13] \div 28 + |8 \times (-1) - 7 + 10| - (7 \times 4 - 1) + (-19)$$ 的值。,,-54,PASS,,1,6.0,7.5,20.0,10.0,10.0,21.65,4,3,5,3.4,41.65,0.0,0.0,True,15,6.25,17,5,3516,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
9a61b75c-2d5f-4dbb-bd96-3d5fa35c032d,a6550d55-8916-4677-ba6f-cefda5d99060,3,計算 $$- [((-75) \times 3) + (-3)] \div 19 + |7 \times (-5) - 14 + 8| - (7 \times 5 - 9) + 39$$ 的值。,,66,PASS,,1,6.0,7.5,20.0,10.0,10.0,22.85,5,3,5,3.6,42.85,0.0,0.0,True,15,6.25,18,5,3516,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
53e6b91d-f024-4203-b686-3b5ab15829de,bc54d0d1-a21c-4aa2-ad0d-3467a3f77d8d,1,計算 $$- [((-12) \times 2) + (-2)] \div 26 + |9 \times (-3) - 11 + 7| - (8 \times 4 - 8) + 21$$ 的值。,,29,PASS,,1,6.0,7.5,20.0,10.0,10.0,22.85,5,3,5,3.6,42.85,0.0,0.0,True,15,6.25,18,5,3516,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
e9e05f01-e6c0-4823-902c-5dd3ff3374bb,bc54d0d1-a21c-4aa2-ad0d-3467a3f77d8d,2,計算 $$- [((-18) \times 5) + 6] \div 28 + |(-3) \times (-3) - 17 + (-9)| - ((-8) \times 5 - 8) + (-34)$$ 的值。,,34,PASS,,1,6.0,7.5,20.0,10.0,10.0,23.45,5,3,5,4.2,43.45,0.0,0.0,True,15,6.25,21,5,3516,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
01f76e4a-df70-4caf-b8ff-1b64d7a782c0,bc54d0d1-a21c-4aa2-ad0d-3467a3f77d8d,3,計算 $$- [(10 \times 4) + (-16)] \div 4 + |(-10) \times (-10) - 17 + 10| - (10 \times 5 - 6) + 28$$ 的值。,,71,PASS,,1,6.0,7.5,20.0,10.0,10.0,22.85,5,3,5,3.6,42.85,0.0,0.0,True,15,6.25,18,5,3516,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
537c45e7-b6ab-4157-95dd-5c1dc41f55f4,c20fcb63-2c7d-4bff-8085-0e0a31bfc998,1,計算 $$- [(8 \times 5) + 28] \div 17 + |(-4) \times 10 - 8 + (-8)| - ((-1) \times 4 - 3) + 31$$ 的值。,,90,PASS,,1,6.0,7.5,20.0,10.0,10.0,22.85,5,3,5,3.6,42.85,0.0,0.0,True,15,6.25,18,5,3516,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.04
20f2e095-9ee0-4986-9c04-2f9ddf48c246,c20fcb63-2c7d-4bff-8085-0e0a31bfc998,2,計算 $$- [(52 \times 4) + 17] \div 15 + |1 \times 9 - 1 + (-4)| - (9 \times 3 - 3) + 30$$ 的值。,,-5,PASS,,1,6.0,7.5,20.0,10.0,10.0,22.45,5,3,5,3.2,42.45,0.0,0.0,True,15,6.25,16,5,3516,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
c82dc8e2-a182-4930-8c3d-a2d13584b86e,c20fcb63-2c7d-4bff-8085-0e0a31bfc998,3,計算 $$- [((-18) \times 3) + 9] \div 15 + |(-7) \times 4 - 12 + 8| - (1 \times 2 - 9) + (-44)$$ 的值。,,-2,PASS,,1,6.0,7.5,20.0,10.0,10.0,22.85,5,3,5,3.6,42.85,0.0,0.0,True,15,6.25,18,5,3516,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
