item_id,run_id,repetition_index,generated_question,generated_answer,generated_correct_answer,status,error_log,included_in_avg,score_l2_1_contract,score_l2_2_purity,score_l3_total,score_l3_1_internal,score_l3_2_external,score_l4_total,score_l4_1_numeric,score_l4_2_visual,score_l4_3_artifacts,score_l4_4_mqi,score_math_total,score_math_quality,score_math_difficulty,score_math_sympy_verified,score_math_hygiene_score,score_math_is,complexity_math_ops,complexity_inference_steps,complexity_ast_nodes,complexity_loop_depth,student_input_test,student_input_result,exec_time_ms
66628021-7a1f-4839-bf12-5b004e4ca436,40c4e1b3-bdea-4fcc-8787-1650f12e2414,1,計算 $$[(21 \times 3) + 0] \div 9 + |4 \times 10 - 6|$$ 的值。,,41,PASS,,1,6.0,7.5,20.0,10.0,10.0,21.45,5,3,5,2.2,41.45,0.0,0.0,True,15,6.25,11,5,3443,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
457f0b0e-4030-4d3c-bcac-619e1cb66693,1215bf33-7ced-4098-a478-5a1dd8792715,3,計算 $$[((-8) \times 4) + (-18)] \div 10 - |(-10) \times 3 - 10 + 7| + ((-19) \times 4 - 9)$$ 的值。,,-123,PASS,,1,6.0,7.5,20.0,10.0,10.0,24.3,5,3,5,3.8,44.3,0.0,0.0,True,15,7.5,19,6,3497,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
cc3c0d36-4630-4158-99ec-1c658d97dc1a,5cd8d511-7492-4cbb-9c96-cc940a620570,1,計算 $$[((-99) \times 2) + 0] \div 18 - |11 \times (-7) - 15 + 3| + (10 \times 2 - 10)$$ 的值。,,-90,PASS,,1,6.0,7.5,20.0,10.0,10.0,23.9,5,3,5,3.4,43.9,0.0,0.0,True,15,7.5,17,6,3497,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
6017c770-6af3-4605-be90-c0a31f0fa030,5cd8d511-7492-4cbb-9c96-cc940a620570,2,計算 $$[((-140) \times 2) + 10] \div 18 - |(-3) \times 3 - 12 + (-3)| + ((-20) \times 3 - 4)$$ 的值。,,-103,PASS,,1,6.0,7.5,20.0,10.0,10.0,23.1,4,3,5,3.6,43.1,0.0,0.0,True,15,7.5,18,6,3497,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
a7a058bd-5d58-4eb8-9679-3a0a24f5311e,5cd8d511-7492-4cbb-9c96-cc940a620570,3,計算 $$[((-44) \times 3) + 6] \div 18 - |(-6) \times (-7) - 8 + (-8)| + (8 \times 4 - 8)$$ 的值。,,-9,PASS,,1,6.0,7.5,20.0,10.0,10.0,24.1,5,3,5,3.6,44.1,0.0,0.0,True,15,7.5,18,6,3497,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
6eecfae9-83b0-44ce-9348-22d14dc7e721,2326e478-cca0-4426-a6ae-c64258cb2e67,1,計算 $$[(33 \times 2) + (-10)] \div 7 - |4 \times (-7) - 8 + (-4)| + ((-7) \times 5 - 4)$$ 的值。,,-71,PASS,,1,6.0,7.5,20.0,10.0,10.0,24.1,5,3,5,3.6,44.1,0.0,0.0,True,15,7.5,18,6,3492,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.02
5ddde5b1-648b-459e-850e-15edcc86c613,2326e478-cca0-4426-a6ae-c64258cb2e67,2,計算 $$[((-2) \times 4) + (-16)] \div 2 - |(-2) \times (-6) - 1 + 8| + ((-19) \times 3 - 7)$$ 的值。,,-95,PASS,,1,6.0,7.5,20.0,10.0,10.0,24.5,5,3,5,4.0,44.5,0.0,0.0,True,15,7.5,20,6,3492,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
804500a8-99b2-4a50-870b-c324881c922e,2326e478-cca0-4426-a6ae-c64258cb2e67,3,計算 $$[((-10) \times 2) + 8] \div 3 - |(-6) \times 8 - 11 + 9| + ((-19) \times 3 - 8)$$ 的值。,,-119,PASS,,1,6.0,7.5,20.0,10.0,10.0,23.9,5,3,5,3.4,43.9,0.0,0.0,True,15,7.5,17,6,3492,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
8c4127a7-328d-43ae-8de8-8cf0e7f83da7,24d6e806-447f-4331-a17b-e14c219cae72,1,計算 $$- [((-7) \times 4) + (-11)] \div 13 + |9 \times (-7) - 14 + (-9)| - ((-19) \times 2 - 7) + (-50)$$ 的值。,,84,PASS,,1,6.0,7.5,20.0,10.0,10.0,23.45,5,3,5,4.2,43.45,0.0,0.0,True,15,6.25,21,5,3492,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
487510f2-0855-4066-9416-a455cde2390d,24d6e806-447f-4331-a17b-e14c219cae72,2,計算 $$- [(32 \times 3) + 14] \div 11 + |(-8) \times (-1) - 2 + 1| - ((-6) \times 4 - 2) + (-36)$$ 的值。,,-13,PASS,,1,6.0,7.5,20.0,10.0,10.0,23.05,5,3,5,3.8,43.05,0.0,0.0,True,15,6.25,19,5,3492,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
da3d6d0a-959f-4794-a635-6c508878ae14,24d6e806-447f-4331-a17b-e14c219cae72,3,計算 $$- [((-14) \times 4) + 20] \div 12 + |(-1) \times (-1) - 7 + (-7)| - ((-11) \times 2 - 4) + (-27)$$ 的值。,,15,PASS,,1,6.0,7.5,20.0,10.0,10.0,23.25,5,3,5,4.0,43.25,0.0,0.0,True,15,6.25,20,5,3492,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.02
67aceeef-d821-4931-9418-df6d7d186220,ec3cea28-f074-41cb-9aba-f9b072e9206f,1,計算 $$- [(13 \times 5) + (-5)] \div 20 + |14 \times 3 - 1 + 1| - (20 \times 4 - 5) + 9$$ 的值。,,-27,PASS,,1,6.0,7.5,20.0,10.0,10.0,22.25,5,3,5,3.0,42.25,0.0,0.0,True,15,6.25,15,5,3507,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
a998783e-0466-4bd9-8477-2e1ccc103bde,ec3cea28-f074-41cb-9aba-f9b072e9206f,2,計算 $$- [((-24) \times 5) + 4] \div 29 + |(-9) \times (-10) - 11 + 10| - (5 \times 2 - 1) + 45$$ 的值。,,129,PASS,,1,6.0,7.5,20.0,10.0,10.0,22.85,5,3,5,3.6,42.85,0.0,0.0,True,15,6.25,18,5,3507,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
b7d0107d-3f8a-4ef5-a21d-c2eeeb5198df,ec3cea28-f074-41cb-9aba-f9b072e9206f,3,計算 $$- [((-36) \times 4) + 19] \div 25 + |(-8) \times 1 - 7 + 8| - (10 \times 4 - 1) + 3$$ 的值。,,-24,PASS,,1,6.0,7.5,20.0,10.0,10.0,22.65,5,3,5,3.4,42.65,0.0,0.0,True,15,6.25,17,5,3507,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
4903359a-e46c-44bf-adb3-0f6bce359207,a2c5553e-48fa-4d30-9e7d-83a1c9e9d9a4,1,計算 $$- [((-58) \times 4) + 16] \div 24 + |13 \times (-7) - 17 + 1| - (9 \times 2 - 2) + (-33)$$ 的值。,,67,PASS,,1,6.0,7.5,20.0,10.0,10.0,22.85,5,3,5,3.6,42.85,0.0,0.0,True,15,6.25,18,5,3497,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
27a74904-c71f-4974-8541-1c6522b2f84a,a2c5553e-48fa-4d30-9e7d-83a1c9e9d9a4,2,計算 $$- [((-39) \times 4) + (-19)] \div 25 + |(-3) \times 1 - 8 + (-3)| - (4 \times 2 - 9) + 47$$ 的值。,,69,PASS,,1,6.0,7.5,20.0,10.0,10.0,23.05,5,3,5,3.8,43.05,0.0,0.0,True,15,6.25,19,5,3497,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
ffc1b976-046d-4b32-b6e6-f79bc89b86c7,a2c5553e-48fa-4d30-9e7d-83a1c9e9d9a4,3,計算 $$- [((-95) \times 3) + 5] \div 20 + |(-9) \times 2 - 15 + 2| - ((-2) \times 3 - 4) + (-31)$$ 的值。,,24,PASS,,1,6.0,7.5,20.0,10.0,10.0,23.05,5,3,5,3.8,43.05,0.0,0.0,True,15,6.25,19,5,3497,1,✓ 標準形式 | ✓ 小數形式 | ✓ 省略乘號 | ✓ 明顯錯誤,PASS,0.03
